,Set,Price_Euro,Pieces,Minifigs
0,Corner Garage,179.99,2569,6 (6 unique to this set)
1,Ford Mustang,169.99,1471,
2,NASA Apollo 11 Lunar Lander,99.99,1087,2 (2 unique to this set)
3,Gingerbread House,89.99,1477,2 (2 unique to this set)
4,Harley-Davidson Fat Boy,89.99,1023,
5,Woody & RC,9.74,69,1
6,Duke Caboom's Stunt Show,19.49,120,2 (1 unique to this set)
7,Buzz and Bo Peep's Playground Adventure,24.36,139,3 (1 unique to this set)
8,RV Vacation,34.11,178,3 (2 unique to this set)
9,Buzz & Woody's Carnival Mania!,49.99,230,5 (3 unique to this set)
10,Carnival Thrill Coaster,19.49,98,2
11,My First Tow Truck,9.74,11,
12,My First Balancing Animals,14.61,15,
13,My First Fun Puzzle,19.49,15,
14,My First Car Creations,19.99,34,
15,Creative Fun,34.99,120,1
16,Mickey's Vacation House,48.73,57,3 (2 unique to this set)
17,Spider-Man vs. Electro,19.99,29,2 (1 unique to this set)
18,Toy Story Train,19.99,21,2 (2 unique to this set)
19,Emmet and Lucy's Visitors from the DUPLO Planet,29.99,53,2 (2 unique to this set)
20,My First Minnie Build,9.99,10,
21,My First Mickey Build,9.74,9,
22,Frozen Ice Castle,49.99,59,3 (1 unique to this set)
23,Police Bike,9.99,8,1 (1 unique to this set)
24,Fire Truck,19.99,21,2 (1 unique to this set)
25,Police Station,29.99,38,3 (2 unique to this set)
26,Fire Station,49.99,76,2
27,Baby Animals,9.74,9,
28,Tropical Island,59.99,73,3 (1 unique to this set)
29,World Animals,99.99,121,6 (3 unique to this set)
30,Plane,9.99,12,1 (1 unique to this set)
31,Submarine Adventure,19.99,24,2
32,Bricks and Ideas,9.99,123,
33,Basic Brick Set ,19.99,300,
34,Bricks and Eyes ,29.23,451,
35,Windows of Creativity,29.23,450,
36,Creative Fun,34.11,900,
37,Star Wars: Build Your Own Adventure Galactic Missions parts,,66,1
38,The Book of Bedtime Builds parts,,68,
39,Harry Potter: Build Your Own Adventure parts,,101,1
40,Christmas Ideas parts,,41,
41,Wooden Minifigure parts,,29,
42,San Francisco,49.99,565,
43,Paris,49.99,649,
44,Trafalgar Square,79.99,1197,
45,Empire State Building,99.99,1767,
46,Burj Khalifa,39.99,333,
47,Minecraft Steve BigFig with Parrot,14.99,159,
48,Minecraft Alex BigFig with Chicken,14.99,160,
49,Minecraft Skeleton BigFig with Magma Cube,14.99,142,
50,The End Battle,19.99,222,2 (2 unique to this set)
51,The Pirate Ship Adventure,49.99,386,3 (2 unique to this set)
52,The Wool Farm,19.99,260,1
53,The Blaze Bridge,39.99,372,4 (3 unique to this set)
54,The Creeper Mine,79.99,834,4 (2 unique to this set)
55,The Flintstones,58.48,748,4 (4 unique to this set)
56,Steamboat Willie,87.72,751,2 (2 unique to this set)
57,Tree House,249.99,3036,4 (4 unique to this set)
58,Central Perk,79.99,1070,7 (7 unique to this set)
59,Dinosaur Fossils,59.99,910,2 (2 unique to this set)
60,My First Duck,,6,
61,Town Rescue - {Random Bag},,,
62,Town Rescue - Bird,,,
63,Town Rescue - Fireman,,,
64,Town Rescue - Cat,,,
65,Town Rescue - Policewoman,,,
66,Town Rescue - Dog,,,
67,Emmet's 'Piece' Offering,3.99,44,1
68,Fire ATV,,39,1
69,Sky Police Jetpack,,33,2 (1 unique to this set)
70,Race Boat,3.99,34,1 (1 unique to this set)
71,Popcorn Cart,,43,1 (1 unique to this set)
72,Space Satellite,,36,1 (1 unique to this set)
73,Naboo Starfighter,,48,
74,Snowspeeder,,49,
75,Minecraft Steve and Creeper Set,,36,2
76,Tulips,,90,
77,Emma's Bumper Cars,3.99,66,1 (1 unique to this set)
78,Mia's Water Fun,,28,1 (1 unique to this set)
79,Spider-Man's Mini Spider Crawler,,73,1
80,Iron Man and Dum-E,,38,1 (1 unique to this set)
